,index,Active,Agency,Bill_ID,LongDescription,ShortDescription,ID
359,617,True,House,2466,Authorizing law enforcement to arrest persons in violation of certain no-contact orders involving victims of trafficking and promoting prostitution offenses.,No-contact orders/arrest,360
360,618,False,House,2472,Ensuring reasonable terms of payment are available to marijuana retailers when contracting with marijuana processors for the purchase of marijuana products.,Marijuana purchase terms,361
361,619,True,House,2472,Ensuring reasonable terms of payment are available to marijuana retailers when contracting with marijuana processors for the purchase of marijuana products.,Marijuana purchase terms,362
362,620,False,House,2489,"Concerning opioid use disorder treatment, prevention, and related services.",Opioid use disorder,363
363,621,True,House,2489,"Concerning opioid use disorder treatment, prevention, and related services.",Opioid use disorder,364
364,622,True,House,2509,Concerning mandatory reporting of child abuse and neglect.,Mandatory reporting of abuse,365
365,623,True,House,2523,Concerning the annual reporting requirements for regulated utility and transportation companies.,UTC reporting requirements,366
366,624,True,House,2527,Evaluating random check procedures for ballot counting equipment.,Ballot counting random check,367
367,625,True,House,2529,Concerning the costs of election administration.,Election admin. costs,368
368,626,False,House,2541,Expanding the classes of persons who may provide informed consent for certain patients who are not competent to consent.,Patients/informed consent,369
369,627,True,House,2541,Expanding the classes of persons who may provide informed consent for certain patients who are not competent to consent.,Patients/informed consent,370
370,628,False,House,2557,Concerning bone marrow donation information provided to driver's license and identicard applicants.,Bone marrow donation info.,371
371,629,True,House,2557,Concerning bone marrow donation information provided to driver's license and identicard applicants.,Bone marrow donation info.,372
372,630,False,House,2558,Preventing public identification or stigmatization of public school students.,Student stigmatization,373
373,631,True,House,2558,Preventing public identification or stigmatization of public school students.,Student stigmatization,374
374,632,False,House,2563,Requiring retailers to post the total sale price of spirits for sale.,"Spirits retail, total price",375
375,633,True,House,2563,Requiring retailers to post the total sale price of spirits for sale.,"Spirits retail, total price",376
376,634,False,House,2565,Concerning drug and gene therapy payment for medicaid managed care organizations.,Drug & gene therapy/medicaid,377
377,635,True,House,2565,Concerning drug and gene therapy payment for medicaid managed care organizations.,Drug & gene therapy/medicaid,378
378,636,True,House,2567,Prohibiting the names of county auditors and the secretary of state in their official capacity on election materials.,Election materials/names,379
379,637,True,House,2570,Concerning a database of pharmacies offering vaccines and self-administered hormonal contraceptives through collaborative drug therapy agreements.,Collab drug therapy database,380
380,638,False,House,2572,Removing health coverage barriers to accessing substance use disorder treatment services.,Sub. use disorder coverage,381
381,640,True,House,2572,Removing health coverage barriers to accessing substance use disorder treatment services.,Sub. use disorder coverage,382
382,641,False,House,2585,Concerning hospital notification of availability of sexual assault evidence kit collection.,Sexual assault kit notice,383
383,642,True,House,2585,Concerning hospital notification of availability of sexual assault evidence kit collection.,Sexual assault kit notice,384
384,643,False,House,2590,Regarding the transitional bilingual instruction program.,Trnstnl bilingual instr prg,385
385,644,True,House,2590,Regarding the transitional bilingual instruction program.,Trnstnl bilingual instr prg,386
386,645,True,House,2628,Concerning the compensation of commissioners of certain metropolitan park districts.,Metro. park district comm'rs,387
387,646,True,House,2641,Promoting the use of expert volunteers in career and technical education courses offered in grades seven and eight.,Expert volunteers in CTE,388
388,647,True,House,2642,"Requiring the department of children, youth, and families to provide a written explanation for a determination of unsuitability for unsupervised access to children in care.",DCYF/written determination,389
389,648,False,House,2647,Applying campaign contribution limits to candidates for all special purpose districts authorized to provide freight and passenger transfer and terminal facilities.,Special district campaigns,390
390,649,True,House,2647,Applying campaign contribution limits to candidates for all special purpose districts authorized to provide freight and passenger transfer and terminal facilities.,Special district campaigns,391
391,650,False,House,2651,Increasing the personal needs allowance for people in residential and institutional care settings.,Personal needs allowance,392
392,651,True,House,2651,Increasing the personal needs allowance for people in residential and institutional care settings.,Personal needs allowance,393
393,652,True,House,2653,Modifying the alternative fuel vehicle sales and use tax exemptions for the purposes of expanding the exemptions and amending related provisions.,Alt fuel vehicle tax exmptns,394
394,653,False,House,2678,Modifying cybercrime provisions.,Cybercrime,395
395,654,True,House,2678,Modifying cybercrime provisions.,Cybercrime,396
396,655,True,House,2694,Authorizing county treasurers to contract with other treasurers for services.,County treasurer contracting,397
397,656,False,House,2704,Concerning election ballot space and voter informations.,Election ballot space,398
398,657,True,House,2704,Concerning election ballot space and voter informations.,Election ballot space,399
399,658,False,House,2710,Adding proximity to working forests to the residential real estate disclosure statement.,Working forests/real estate,400
400,659,True,House,2710,Adding proximity to working forests to the residential real estate disclosure statement.,Working forests/real estate,401
401,660,False,House,2712,Eliminating lunch copays for students who qualify for reduced-price lunches.,Reduced-price lunch copays,402
402,661,True,House,2712,Eliminating lunch copays for students who qualify for reduced-price lunches.,Reduced-price lunch copays,403
403,662,False,House,2718,Concerning seizure and forfeiture procedures and reporting.,Civil forfeiture proceedings,404
404,664,True,House,2718,Concerning seizure and forfeiture procedures and reporting.,Civil forfeiture proceedings,405
405,665,False,House,2723,Modifying the types of off-road vehicles subject to local government regulation.,Off-road vehicles/local gov.,406
406,666,True,House,2723,Modifying the types of off-road vehicles subject to local government regulation.,Off-road vehicles/local gov.,407
407,667,True,House,2725,"Updating laws concerning agricultural fairs, youth shows, and exhibitions.","Fairs, youth shows, & expos",408
408,668,True,House,2735,Concerning public disclosure of certain information procured or obtained pursuant to a loan or grant application under the underground storage tank revolving loan and grant program.,Underground tank program/PRA,409
409,669,False,House,2757,Modernizing fuel content standards and references.,Fuel content standards,410
410,670,True,House,2757,Modernizing fuel content standards and references.,Fuel content standards,411
411,671,False,House,2771,Managing wolves using translocation.,Wolves/translocation,412
412,672,True,House,2771,Managing wolves using translocation.,Wolves/translocation,413
413,673,False,House,2774,Exempting information relating to the regulation of explosives from public disclosure.,Explosives/public record act,414
414,674,True,House,2774,Exempting information relating to the regulation of explosives from public disclosure.,Explosives/public record act,415
415,675,True,House,2775,Clarifying the required color of certain lamps on vehicles.,Vehicle lamp colors,416
416,676,False,House,2778,Protecting personal information regarding sexual harassment claims.,Sexual harassment claim info,417
417,677,True,House,2778,Protecting personal information regarding sexual harassment claims.,Sexual harassment claim info,418
418,678,False,House,2802,Concerning expanded learning opportunities.,Expanded learning,419
419,679,True,House,2802,Concerning expanded learning opportunities.,Expanded learning,420
420,680,False,House,2809,Concerning efficiency updates for capital budget appropriations allocated for public art.,Capital budget/public art,421
421,681,True,House,2809,Concerning efficiency updates for capital budget appropriations allocated for public art.,Capital budget/public art,422
422,682,False,House,2817,Limiting overtime for correctional officers.,Correctional officer OT,423
423,683,True,House,2817,Limiting overtime for correctional officers.,Correctional officer OT,424
424,684,False,House,2818,Concerning the appointment of religious coordinators.,Religious coordinator appt.,425
425,685,True,House,2818,Concerning the appointment of religious coordinators.,Religious coordinator appt.,426
426,686,True,House,2821,Concerning delegation of inspection duties.,L&I/inspection duty delegat.,427
427,687,True,House,2832,Ensuring the passport to college promise program is available to certain populations of foster youth.,Passport to college/foster,428
428,688,False,House,2833,Transferring duties of the life sciences discovery fund.,Life sciences discovery fund,429
429,689,True,House,2833,Transferring duties of the life sciences discovery fund.,Life sciences discovery fund,430
430,690,False,House,2836,Delineating charity care and notice requirements without restricting charity care.,Charity care and notice reqs,431
431,691,True,House,2836,Delineating charity care and notice requirements without restricting charity care.,Charity care and notice reqs,432
432,692,False,House,2839,Authorizing an alternative form of regulation of electrical and natural gas companies.,Electric & nat gas companies,433
433,693,True,House,2839,Authorizing an alternative form of regulation of electrical and natural gas companies.,Electric & nat gas companies,434
434,694,False,House,2855,Concerning the sharing of information between participants in multidisciplinary coordination of child sexual abuse investigations.,Child sexual abuse investig.,435
435,695,True,House,2855,Concerning the sharing of information between participants in multidisciplinary coordination of child sexual abuse investigations.,Child sexual abuse investig.,436
436,696,True,House,2894,Concerning certificate of need exemptions for certain ambulatory facilities and centers.,Cert of need/ambulatory facs,437
437,697,True,House,2906,Concerning eligibility of a surviving spouse for the property tax exemption for senior citizens and disabled persons.,Surviving spouse/property tx,438
438,698,False,House,2907,Concerning confinement in juvenile rehabilitation facilities.,Juvenile rehab. confinement,439
439,699,True,House,2907,Concerning confinement in juvenile rehabilitation facilities.,Juvenile rehab. confinement,440
440,700,False,House,2914,Concerning Washington's economic development potential as a world leader in the responsible management of postconsumer materials.,Postconsumer materials,441
441,702,True,House,2914,Concerning Washington's economic development potential as a world leader in the responsible management of postconsumer materials.,Postconsumer materials,442
442,703,False,House,2928,Reauthorizing the business and occupation tax deduction for cooperative finance organizations.,Cooperative finance org. B&O,443
443,704,True,House,2928,Reauthorizing the business and occupation tax deduction for cooperative finance organizations.,Cooperative finance org. B&O,444
444,705,True,House,2961,Concerning election year restrictions on email updates from state legislators.,Election year email updates,445
445,706,True,House,2962,Revising statutory deadlines for redistricting plans.,Redistricting plan deadlines,446
446,707,False,House,2975,Concerning snow bikes.,Snow bikes,447
447,708,True,House,2975,Concerning snow bikes.,Snow bikes,448
448,713,True,House,4014,"Supporting the continued research, development, production, and application of biochar from our forests and agricultural lands.",Biochar,449
449,0,True,Senate,1001,Concerning utility easements on state-owned aquatic lands.,Utility esmts./aquatic lands,450
450,1,False,Senate,1010,Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.,Dept. of ecology agreements,451
451,2,True,Senate,1010,Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.,Dept. of ecology agreements,452
452,3,False,Senate,1017,Addressing the siting of schools and school facilities.,School siting,453
453,4,True,Senate,1017,Addressing the siting of schools and school facilities.,School siting,454
454,5,True,Senate,1018,Modifying the maximum amount for grants provided to airports and air navigation facilities.,Airport grants/max. amount,455
455,6,False,Senate,1022,Enhancing crime victim participation in the criminal justice system process.,Crime victim participation,456
456,7,True,Senate,1022,Enhancing crime victim participation in the criminal justice system process.,Crime victim participation,457
457,8,False,Senate,1027,Addressing surplus line broker licensing.,Surplus line broker licenses,458
458,9,True,Senate,1027,Addressing surplus line broker licensing.,Surplus line broker licenses,459
459,10,False,Senate,1036,Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.,Tow truck electronic records,460
460,11,True,Senate,1036,Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.,Tow truck electronic records,461
461,12,False,Senate,1038,Increasing the number of tasting rooms allowed under a domestic winery license.,Winery tasting rooms,462
462,13,True,Senate,1038,Increasing the number of tasting rooms allowed under a domestic winery license.,Winery tasting rooms,463
463,14,True,Senate,1042,Eliminating the office of the insurance commissioner's school district or educational service district annual report.,School district/ESD reports,464
464,15,False,Senate,1043,Addressing nonpublic personal health information.,Personal health information,465
465,16,True,Senate,1043,Addressing nonpublic personal health information.,Personal health information,466
466,17,False,Senate,1047,Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.,Medication disposal system,467
467,18,True,Senate,1047,Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.,Medication disposal system,468
468,19,False,Senate,1055,"Concerning pro bono legal services for military service members, veterans, and their families.",Military members/pro bono,469
469,20,True,Senate,1055,"Concerning pro bono legal services for military service members, veterans, and their families.",Military members/pro bono,470
470,21,True,Senate,1056,Concerning consumer protections for military service members on active duty.,Military/consumer protection,471
471,22,True,Senate,1058,Changing provisions relating to court-ordered restitution in certain criminal cases.,Court-ordered restitution,472
472,23,True,Senate,1064,"Removing expiration dates, obsolete dates, and an outdated statutory reference from the enforcement provisions of the underground utility damage prevention act.",Utility damage prevention,473
473,24,True,Senate,1071,Repealing an expiration date for legislation enacted in 2015 regarding pawnbroker fees and interest rates.,Pawnbroker fees and interest,474
474,25,False,Senate,1079,Creating a criminal no-contact order for human trafficking and promoting prostitution-related offenses.,No-contact order/trafficking,475
475,26,True,Senate,1079,Creating a criminal no-contact order for human trafficking and promoting prostitution-related offenses.,No-contact order/trafficking,476
476,27,False,Senate,1080,Concerning state general obligation bonds and related accounts.,State gen. obligation bonds,477
477,29,True,Senate,1085,Regulating the minimum dimensions of habitable spaces in single-family residential areas.,Single-family res. dwellings,478
478,30,False,Senate,1086,Promoting the completion of environmental impact statements within two years.,Impact statements/two years,479
479,31,True,Senate,1086,Promoting the completion of environmental impact statements within two years.,Impact statements/two years,480
480,32,True,Senate,1091,Authorizing tribal court judges to solemnize marriages.,Solemnizing marriages,481
481,33,True,Senate,1095,Concerning antifreeze products.,Antifreeze products,482
482,34,False,Senate,1100,Concerning concealed pistol license renewal notices.,Concealed pistol license,483
483,35,True,Senate,1100,Concerning concealed pistol license renewal notices.,Concealed pistol license,484
484,36,False,Senate,1105,Concerning passenger-carrying vehicles for railroad employees.,Railroad employees/vehicles,485
485,37,True,Senate,1105,Concerning passenger-carrying vehicles for railroad employees.,Railroad employees/vehicles,486
486,38,True,Senate,1107,"Eliminating the term ""branch"" as an identifying factor for extensions of the public institutions of higher education.",Renaming branch campuses,487
487,39,False,Senate,1109,Supporting victims of sexual assault.,Victims of sexual assault,488
488,40,True,Senate,1109,Supporting victims of sexual assault.,Victims of sexual assault,489
489,41,False,Senate,1115,Concerning paraeducators.,Paraeducators,490
490,42,True,Senate,1115,Concerning paraeducators.,Paraeducators,491
491,43,False,Senate,1120,Concerning the regulatory fairness act.,Regulatory fairness act,492
492,45,True,Senate,1120,Concerning the regulatory fairness act.,Regulatory fairness act,493
493,46,False,Senate,1121,Concerning the frequency of Puget Sound action agenda implementation strategy and science work plan updates.,Puget Sound action agenda,494
494,47,True,Senate,1121,Concerning the frequency of Puget Sound action agenda implementation strategy and science work plan updates.,Puget Sound action agenda,495
495,48,True,Senate,1128,Concerning civil arbitration.,Civil arbitration,496
496,49,False,Senate,1130,Making the customized training program permanent.,Customized training program,497
497,50,True,Senate,1130,Making the customized training program permanent.,Customized training program,498
498,51,True,Senate,1133,Limiting the uses of the fire protection contractor license fund.,Fire contractor license fund,499
499,52,False,Senate,1136,Exempting short-line railroads that haul nonfuel oils from oil spill contingency planning requirements.,Oil spill planning/nonfuel,500
500,53,True,Senate,1136,Exempting short-line railroads that haul nonfuel oils from oil spill contingency planning requirements.,Oil spill planning/nonfuel,501
501,54,True,Senate,1140,"Extending surcharges on court filing fees for deposit in the judicial stabilization trust account to July 1, 2021.",Court filing fees surcharge,502
502,55,True,Senate,1148,Extending the expiration date for reporting requirements on timber purchases.,Timber purchase reporting,503
503,56,False,Senate,1149,Providing an exemption from certain maximum vehicle length limitations.,Maximum vehicle length limit,504
504,57,True,Senate,1149,Providing an exemption from certain maximum vehicle length limitations.,Maximum vehicle length limit,505
505,58,True,Senate,1150,"Clarifying procedures for appointment to the Chehalis board created by chapter 194, Laws of 2016.",Chehalis board appointments,506
506,59,False,Senate,1153,Concerning crimes against vulnerable persons.,Vulnerable persons/crimes,507
507,60,True,Senate,1153,Concerning crimes against vulnerable persons.,Vulnerable persons/crimes,508
508,61,False,Senate,1163,Concerning domestic violence.,Domestic violence,509
509,63,True,Senate,1163,Concerning domestic violence.,Domestic violence,510
510,64,True,Senate,1166,Concerning fire protection district tax levies.,Fire district tax levies,511
511,65,False,Senate,1170,Maintaining and facilitating court-based and school-based efforts to promote attendance and reduce truancy.,Truancy reduction efforts,512
512,67,True,Senate,1170,Maintaining and facilitating court-based and school-based efforts to promote attendance and reduce truancy.,Truancy reduction efforts,513
513,68,False,Senate,1176,Concerning the alcoholic beverage mead.,"Mead, alcoholic beverage",514
514,69,True,Senate,1176,Concerning the alcoholic beverage mead.,"Mead, alcoholic beverage",515
515,70,False,Senate,1183,"Authorizing specified local governments, including municipalities and federally recognized Indian tribes, that typically have limited access to economic development resources, to designate a portion of their territory as a creative district subject to certification by the Washington state arts commission.",Creative districts,516
516,71,True,Senate,1183,"Authorizing specified local governments, including municipalities and federally recognized Indian tribes, that typically have limited access to economic development resources, to designate a portion of their territory as a creative district subject to certification by the Washington state arts commission.",Creative districts,517
517,72,False,Senate,1184,Modifying patronizing a prostitute provisions.,Patronizing a prostitute,518
518,73,True,Senate,1184,Modifying patronizing a prostitute provisions.,Patronizing a prostitute,519
519,74,False,Senate,1189,Concerning exemptions from the massage therapy law.,Massage therapy exemptions,520
520,75,True,Senate,1189,Concerning exemptions from the massage therapy law.,Massage therapy exemptions,521
521,76,True,Senate,1195,Concerning surrender of person under surety's bond.,Surrender/surety's bond,522
522,77,True,Senate,1198,Concerning substance abuse monitoring for podiatric physicians and surgeons.,Podiatric/substance abuse,523
523,78,False,Senate,1199,Allowing youth courts to have jurisdiction over transit infractions.,Transit infract./youth court,524
524,79,True,Senate,1199,Allowing youth courts to have jurisdiction over transit infractions.,Transit infract./youth court,525
525,80,False,Senate,1200,Concerning the crime of voyeurism.,Voyeurism/second degree,526
526,81,True,Senate,1200,Concerning the crime of voyeurism.,Voyeurism/second degree,527
527,82,True,Senate,1201,Concerning the taxing authority of public facilities districts.,Pub. facilities district tax,528
528,83,True,Senate,1204,Requiring the display of the national league of families' POW/MIA flag on certain days.,POW/MIA flag display,529
529,84,False,Senate,1209,Concerning municipal access to local financial services.,Municipal financial services,530
530,85,True,Senate,1209,Concerning municipal access to local financial services.,Municipal financial services,531
531,86,False,Senate,1218,Modifying when towing fees terminate.,Towing fees termination,532
532,87,True,Senate,1218,Modifying when towing fees terminate.,Towing fees termination,533
533,88,False,Senate,1234,Addressing private health plan coverage of contraceptives.,Contraceptive coverage,534
534,89,True,Senate,1234,Addressing private health plan coverage of contraceptives.,Contraceptive coverage,535
535,90,False,Senate,1235,Assessing physical education practices in public schools.,Physical edu. assessments,536
536,91,True,Senate,1235,Assessing physical education practices in public schools.,Physical edu. assessments,537
537,92,True,Senate,1237,Modifying collective bargaining law to authorize providing additional compensation to academic employees at community and technical colleges.,Com & tech college employees,538
538,93,False,Senate,1239,Concerning requests for medical records to support an application for social security benefits.,Social security/medical recs,539
539,94,True,Senate,1239,Concerning requests for medical records to support an application for social security benefits.,Social security/medical recs,540
540,95,True,Senate,1248,Correcting a conflict between state and federal law regarding class I correctional industries work programs.,Class I correct. industries,541
541,96,True,Senate,1250,Authorizing retail marijuana outlets to give a free lockable drug box to adults age twenty-one years and over and to qualifying patients age eighteen years and over subject to restrictions.,Marijuana/lockable drug box,542
542,97,False,Senate,1257,Concerning the release of wild beavers.,"Wild beavers, release of",543
543,98,True,Senate,1257,Concerning the release of wild beavers.,"Wild beavers, release of",544
544,99,False,Senate,1258,Concerning persons with a disability present at the scene of an accident.,First responders/disability,545
545,100,True,Senate,1258,Concerning persons with a disability present at the scene of an accident.,First responders/disability,546
546,101,True,Senate,1262,Concerning accessible parking spaces for people with disabilities.,Accessible parking spaces,547
547,102,False,Senate,1266,Concerning petroleum storage tank systems.,Petroleum storage tanks,548
548,103,True,Senate,1266,Concerning petroleum storage tank systems.,Petroleum storage tanks,549
549,104,False,Senate,1273,Concerning the alignment of state statutes with federal standards for the issuance of nondomiciled commercial drivers' licenses and nondomiciled commercial learners' permits.,Nondomiciled licenses,550
550,105,True,Senate,1273,Concerning the alignment of state statutes with federal standards for the issuance of nondomiciled commercial drivers' licenses and nondomiciled commercial learners' permits.,Nondomiciled licenses,551
551,106,True,Senate,1274,Concerning the member requirement for bona fide charitable or nonprofit organizations.,Gambling/org. membership,552
552,107,False,Senate,1275,Including fish passage barrier removal projects that comply with the forest practices rules in the streamlined permit process provided in RCW 77.55.181.,Fish passage barrier removal,553
553,108,True,Senate,1275,Including fish passage barrier removal projects that comply with the forest practices rules in the streamlined permit process provided in RCW 77.55.181.,Fish passage barrier removal,554
554,109,True,Senate,1278,Enacting the physical therapy licensure compact.,Physical therapy compact,555
555,110,False,Senate,1279,Concerning school safety drills.,School safety drills,556
556,111,True,Senate,1279,Concerning school safety drills.,School safety drills,557
557,112,True,Senate,1281,Modifying the appointment process for trustees of rural county library districts in counties with one million or more residents.,Rural library trustee appt.,558
558,113,True,Senate,1283,Eliminating the collection of anticipated taxes and assessments.,"Anticipated tax, assessments",559
559,114,True,Senate,1285,Modifying oath requirements for interpreters in legal proceedings.,Legal interpreters/oaths,560
560,115,False,Senate,1296,Consolidating and simplifying the annual report and annual survey used for economic development tax incentives.,Tax incentives report&survey,561
561,116,True,Senate,1296,Consolidating and simplifying the annual report and annual survey used for economic development tax incentives.,Tax incentives report&survey,562
562,117,False,Senate,1314,Concerning health care authority auditing practices.,Health care auth. auditing,563
563,118,True,Senate,1314,Concerning health care authority auditing practices.,Health care auth. auditing,564
564,119,False,Senate,1320,Concerning certain gold star license plate qualified applicants and recipients.,Gold star license plates,565
565,120,True,Senate,1320,Concerning certain gold star license plate qualified applicants and recipients.,Gold star license plates,566
566,121,True,Senate,1322,Reducing training requirements for developmental disability respite providers working three hundred hours or less in any calendar year.,Dev disability respite provs,567
567,122,True,Senate,1329,Modifying monetary penalties imposed for infractions relating to mobile and manufactured home installation.,Mobile home infractions,568
568,123,True,Senate,1336,Restricting the social security offset to disability compensation.,Disability comp SS offset,569
569,124,True,Senate,1337,Creating the interstate medical licensure compact.,Medical licensure compact,570
570,125,False,Senate,1338,Addressing the Washington state health insurance pool.,State health insurance pool,571
571,127,True,Senate,1338,Addressing the Washington state health insurance pool.,State health insurance pool,572
572,128,False,Senate,1341,Concerning professional certification for teachers and school administrators.,Prof. certification/teachers,573
573,130,True,Senate,1341,Concerning professional certification for teachers and school administrators.,Prof. certification/teachers,574
574,131,False,Senate,1344,Extending the period for which a bond levy may be increased.,Bond levy increase period,575
575,132,True,Senate,1344,Extending the period for which a bond levy may be increased.,Bond levy increase period,576
576,133,False,Senate,1346,Clarifying the authority of a nurse working in a school setting.,Nurse in school setting,577
577,134,True,Senate,1346,Clarifying the authority of a nurse working in a school setting.,Nurse in school setting,578
578,135,False,Senate,1351,"Authorizing, under one license, the sale of spirits, beer, and wine at retail for off-premises consumption.","Sale of spirits, beer & wine",579
579,137,True,Senate,1351,"Authorizing, under one license, the sale of spirits, beer, and wine at retail for off-premises consumption.","Sale of spirits, beer & wine",580
580,138,True,Senate,1352,Concerning licensing and regulatory requirements of small business owners.,Small business owners,581
581,139,False,Senate,1353,Commissioning an elk management pilot project that focuses initially on the Colockum elk herd.,Elk management pilot project,582
582,140,True,Senate,1353,Commissioning an elk management pilot project that focuses initially on the Colockum elk herd.,Elk management pilot project,583
583,141,False,Senate,1358,Concerning reimbursement for services provided pursuant to community assistance referral and education services programs.,Comm. assist. referral progs,584
584,143,True,Senate,1358,Concerning reimbursement for services provided pursuant to community assistance referral and education services programs.,Comm. assist. referral progs,585
585,144,False,Senate,1369,Defining veteran for the purpose of receiving certain benefits.,Veteran definition,586
586,145,True,Senate,1369,Defining veteran for the purpose of receiving certain benefits.,Veteran definition,587
587,146,False,Senate,1375,Providing students at community and technical colleges with the costs of required course materials.,CTC course material costs,588
588,148,True,Senate,1375,Providing students at community and technical colleges with the costs of required course materials.,CTC course material costs,589
589,149,False,Senate,1388,"Changing the designation of the state behavioral health authority from the department of social and health services to the health care authority and transferring the related powers, functions, and duties to the health care authority and the department of health.",Behavioral health authority,590
590,150,True,Senate,1388,"Changing the designation of the state behavioral health authority from the department of social and health services to the health care authority and transferring the related powers, functions, and duties to the health care authority and the department of health.",Behavioral health authority,591
591,151,True,Senate,1395,Allowing public transportation benefit area authorities to use job order contracts and procedure.,PTBAs/job order contracts,592
592,152,True,Senate,1400,Creating Washington state aviation special license plates.,Aviation license plate,593
593,153,True,Senate,1401,Requiring the court to remove any person serving as a court-appointed special advocate or volunteer guardian ad litem if that person has made a materially false statement under oath.,CASA & GAL removal,594
594,154,False,Senate,1402,Concerning the rights and obligations associated with incapacitated persons and other vulnerable adults.,Incapacitated persons/rights,595
595,156,True,Senate,1402,Concerning the rights and obligations associated with incapacitated persons and other vulnerable adults.,Incapacitated persons/rights,596
596,157,True,Senate,1406,Adjusting the surface mining funding structure.,Surface mining funding,597
597,158,False,Senate,1411,Concerning dental licensure through completion of a residency program.,Dental licensure/residency,598
598,159,True,Senate,1411,Concerning dental licensure through completion of a residency program.,Dental licensure/residency,599
599,160,False,Senate,1417,Concerning the harmonization of the open public meetings act with the public records act in relation to information technology security matters.,OPMA/IT security matters,600
600,161,True,Senate,1417,Concerning the harmonization of the open public meetings act with the public records act in relation to information technology security matters.,OPMA/IT security matters,601
601,162,False,Senate,1420,Concerning theatrical wrestling.,Theatrical wrestling,602
602,163,True,Senate,1420,Concerning theatrical wrestling.,Theatrical wrestling,603
603,164,False,Senate,1427,Concerning opioid treatment programs.,Opioid treatment programs,604
604,165,True,Senate,1427,Concerning opioid treatment programs.,Opioid treatment programs,605
605,166,False,Senate,1431,Increasing the number of members on the board of osteopathic medicine and surgery.,Osteopath med & surgery brd,606
606,167,True,Senate,1431,Increasing the number of members on the board of osteopathic medicine and surgery.,Osteopath med & surgery brd,607
607,168,False,Senate,1434,"Adding the use of shared leave for employees who are sick or temporarily disabled because of pregnancy disability or for the purposes of parental leave to bond with the employee's newborn, adoptive, or foster child.",Shared leave/pregnancy,608
608,169,True,Senate,1434,"Adding the use of shared leave for employees who are sick or temporarily disabled because of pregnancy disability or for the purposes of parental leave to bond with the employee's newborn, adoptive, or foster child.",Shared leave/pregnancy,609
609,170,False,Senate,1439,"Regulating the institutions of higher education, including for-profit institutions and private vocational schools, to protect students from unfair business practices.",Higher ed student protection,610
610,172,True,Senate,1439,"Regulating the institutions of higher education, including for-profit institutions and private vocational schools, to protect students from unfair business practices.",Higher ed student protection,611
611,173,False,Senate,1444,Facilitating on-time grade level progression and graduation for certain students.,Progression and graduation,612
612,174,True,Senate,1444,Facilitating on-time grade level progression and graduation for certain students.,Progression and graduation,613
613,175,False,Senate,1445,Concerning dual language in early learning and K-12 education.,Dual language/early & K-12,614
614,176,True,Senate,1445,Concerning dual language in early learning and K-12 education.,Dual language/early & K-12,615
615,177,True,Senate,1449,Concerning water recreation facilities.,Water recreation facilities,616
616,178,True,Senate,1450,Creating and establishing the rights and duties for title insurance rating and advisory organizations.,Title insurance rating orgs.,617
617,179,True,Senate,1452,Concerning the opportunity scholarship program.,Opportunity scholarship prog,618
618,180,False,Senate,1452,Concerning the opportunity scholarship program.,Opportunity scholarship prog,619
619,181,False,Senate,1462,Adding authority to the department of agriculture to regulate sanitary processing of marijuana-infused edibles.,Marijuana edibles/sanitary,620
620,182,True,Senate,1462,Adding authority to the department of agriculture to regulate sanitary processing of marijuana-infused edibles.,Marijuana edibles/sanitary,621
621,183,False,Senate,1464,Concerning the development of cooperative agreements to expand recreational access on privately owned lands.,Rec. access/private lands,622
622,184,True,Senate,1464,Concerning the development of cooperative agreements to expand recreational access on privately owned lands.,Rec. access/private lands,623
623,185,False,Senate,1465,Exempting from public disclosure certain information regarding reports on wolf depredations.,Wolf depredation/public recs,624
624,186,True,Senate,1465,Exempting from public disclosure certain information regarding reports on wolf depredations.,Wolf depredation/public recs,625
625,187,False,Senate,1467,"Removing disincentives to the voluntary formation of regional fire protection service authorities by establishing parity, equalizing certain provisions with existing laws governing fire protection districts, and clarifying the formation process.",Fire protection service auth,626
626,188,True,Senate,1467,"Removing disincentives to the voluntary formation of regional fire protection service authorities by establishing parity, equalizing certain provisions with existing laws governing fire protection districts, and clarifying the formation process.",Fire protection service auth,627
627,189,True,Senate,1475,Clarifying the limited authority of gambling commission officers.,Gambling commission officers,628
628,190,False,Senate,1477,Concerning disclosure of health-related information with persons with a close relationship with a patient.,Health info. disclosure,629
629,191,True,Senate,1477,Concerning disclosure of health-related information with persons with a close relationship with a patient.,Health info. disclosure,630
630,192,False,Senate,1481,Creating uniformity in driver training education provided by school districts and commercial driver training schools.,Driver education uniformity,631
631,193,True,Senate,1481,Creating uniformity in driver training education provided by school districts and commercial driver training schools.,Driver education uniformity,632
632,194,False,Senate,1488,Expanding higher education opportunities for certain students.,Higher ed opportunities,633
633,197,False,Senate,1489,Concerning private wildland fire suppression contractors.,Wildland fire contractors,634
634,198,True,Senate,1489,Concerning private wildland fire suppression contractors.,Wildland fire contractors,635
635,199,False,Senate,1490,Eliminating the requirement that a city or town provide preservation rating information on a certain percentage of its arterial network.,Preservation rating info.,636
